recno_x,SNID,z,e_z,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,HR,e_HR,H08,G11,All_x,Simbad,NED,_RA,_DE,recno_y,logAl,e_logAl,logAg,e_logAg,logM,PC1,All_y,HR_corr
65,16073,0.154716,1.43,23.8,22.6,21.9,21.5,21.4,0.27,0.02,0.01,0.01,0.05,0.21,0.06,0,1,All,Simbad,NED,8.10766,-1.0539,65,6.0,1.4,4.9,1.1,9.5,0.68,All,0.24160132606682055
66,16116,0.156492,1.89,24.8,24.1,23.7,23.4,23.0,0.98,0.12,0.08,0.09,0.27,0.17,0.07,0,0,All,Simbad,NED,355.302,-1.10596,66,3.3,1.1,3.3,1.0,10.5,1.7,All,0.08708809976678922
67,16163,0.155041,1.0,22.8,21.6,20.7,20.2,19.9,0.18,0.01,0.01,0.01,0.02,-0.01,0.11,0,0,All,Simbad,NED,31.499,-0.85586,67,8.5,1.1,6.6,1.1,9.6,-2.72,All,0.12763209115944216
68,16185,0.101366,5.96,23.8,22.2,21.5,21.1,20.8,0.25,0.02,0.01,0.01,0.03,-0.15,0.08,0,1,All,Simbad,NED,16.86808,-0.26936,68,6.2,1.1,7.1,1.6,10.7,-1.01,All,-0.10991621272576971
69,16206,0.159729,2.76,24.1,21.9,20.9,20.4,20.1,0.42,0.02,0.01,0.01,0.02,-0.34,0.09,0,0,All,Simbad,NED,5.78837,-0.05358,69,7.2,3.3,7.9,3.9,9.6,-2.02,All,-0.2575039066887211
70,17168,0.185192,1.37,23.2,22.4,21.9,21.6,21.4,0.45,0.03,0.02,0.02,0.08,0.08,0.09,0,1,All,Simbad,NED,339.724,-1.16726,70,3.8,1.1,2.2,1.1,7.5,1.25,All,0.018294252785313533
71,17186,0.078816,3.27,24.3,22.5,22.1,21.8,21.6,0.53,0.03,0.02,0.02,0.08,0.36,0.07,0,0,All,Simbad,NED,31.6137,-0.89932,71,4.7,0.9,1.4,0.7,10.4,2.48,All,0.3364653282186573
72,17206,0.156466,2.31,24.8,23.8,22.9,22.4,22.0,0.77,0.07,0.04,0.03,0.09,-0.06,0.13,0,0,All,Simbad,NED,45.98531,0.72826,72,5.7,3.1,2.7,3.3,10.1,-0.84,All,-0.04112236574429402
73,17218,0.178393,1.43,22.5,21.7,21.0,20.6,20.4,0.11,0.02,0.01,0.01,0.02,-0.11,0.09,0,0,All,Simbad,NED,356.172,-0.03007,73,4.7,0.7,4.5,1.9,9.6,0.01,All,-0.13353467178134268
74,17695,0.182906,1.63,24.9,23.5,23.1,22.8,22.4,0.73,0.06,0.05,0.06,0.15,-0.3,0.09,0,0,All,Simbad,NED,41.98979,0.58922,74,3.2,1.0,3.4,1.3,10.2,0.71,All,-0.3871531308369156
75,18375,0.110509,1.72,22.5,21.3,20.5,20.2,19.9,0.1,0.01,0.01,0.01,0.01,-0.25,0.06,0,1,All,Simbad,NED,11.51637,-0.01081,75,4.7,2.4,6.4,2.9,9.3,0.23,All,-0.27353467178134266
76,18602,0.13834,2.23,24.0,23.7,23.1,22.7,22.5,0.65,0.1,0.07,0.06,0.18,0.12,0.07,0,1,All,Simbad,NED,338.984,0.60911,76,4.5,1.5,4.5,1.4,9.1,1.4,All,0.08798286701124758
77,18604,0.176261,2.31,25.5,24.1,22.7,22.1,21.8,1.3,0.09,0.03,0.02,0.07,0.05,0.08,0,1,All,Simbad,NED,340.921,0.42051,77,8.1,3.5,6.6,3.0,10.8,-0.89,All,0.1706671687446227
78,18612,0.114892,1.96,22.9,21.8,20.9,20.5,20.3,0.12,0.02,0.01,0.01,0.02,-0.17,0.06,0,1,All,Simbad,NED,12.28804,0.59661,78,5.5,2.7,7.0,1.6,8.9,-0.9,All,-0.15960482695170378
79,18650,0.113713,2.68,23.6,22.7,22.2,22.0,21.8,0.35,0.04,0.03,0.03,0.1,0.22,0.06,0,1,All,Simbad,NED,328.447,0.01503,79,1.7,0.7,2.0,0.9,10.3,2.64,All,0.06922841010751138
80,18697,0.107623,1.05,23.3,22.1,21.4,21.0,20.7,0.27,0.02,0.01,0.01,0.04,-0.02,0.06,0,0,All,Simbad,NED,11.22404,-0.99692,80,4.5,3.2,5.7,1.4,11.0,0.62,All,-0.05201713298875241
81,18749,0.190638,3.3,25.4,24.2,23.0,22.6,22.2,1.08,0.12,0.05,0.05,0.11,-0.19,0.08,0,1,All,Simbad,NED,12.54662,0.67575,81,6.0,1.7,7.9,3.9,10.2,-1.59,All,-0.15839867393317944
82,18804,0.198426,6.05,24.2,24.1,23.3,23.2,22.6,0.51,0.1,0.05,0.05,0.14,-0.12,0.07,0,0,All,Simbad,NED,25.266,-0.44827,82,2.7,1.2,4.7,1.2,10.6,1.37,All,-0.22835928385543997
83,18835,0.123186,3.47,23.7,22.4,21.4,20.9,20.6,0.21,0.02,0.01,0.01,0.02,0.0,0.07,0,0,All,Simbad,NED,53.6855,0.35575,83,7.2,3.8,6.5,3.3,10.4,-0.34,All,0.08249609331127894
84,19155,0.077603,1.43,23.4,22.5,21.9,21.6,21.4,0.18,0.02,0.02,0.01,0.05,0.18,0.07,0,0,All,Simbad,NED,31.2665,0.17456,84,2.8,1.8,5.3,1.9,10.7,1.51,All,0.07588194674826489
85,19353,0.154056,1.44,24.9,23.3,22.5,22.0,21.7,0.72,0.04,0.02,0.02,0.06,0.06,0.07,0,1,All,Simbad,NED,43.11329,0.25172,85,4.0,2.7,6.1,1.1,10.7,0.62,All,0.006776713992723268
86,19772,0.175149,2.17,23.4,21.4,20.3,19.8,19.5,0.27,0.01,0.01,0.0,0.01,-0.5,0.08,0,0,All,Simbad,NED,12.66627,-1.04201,86,8.5,4.2,7.3,1.3,10.2,-2.18,All,-0.3623679088405578
87,19775,0.138092,2.56,23.3,21.8,20.7,20.2,19.8,0.23,0.02,0.01,0.01,0.02,-0.05,0.07,0,1,All,Simbad,NED,318.95612,0.65139,87,2.5,3.5,5.9,3.6,9.5,0.7,All,-0.1668417450628497
88,19953,0.123228,1.84,24.0,23.2,22.6,22.3,22.7,0.51,0.06,0.04,0.05,0.26,0.09,0.07,0,0,All,Simbad,NED,332.93,0.57936,88,3.0,1.2,2.3,0.9,10.4,2.12,All,-0.005635592044325385
89,19968,0.055939,1.56,23.6,22.3,21.3,20.9,20.7,0.24,0.03,0.01,0.01,0.03,-0.18,0.09,0,0,All,Simbad,NED,24.34908,-0.31169,89,9.7,4.5,8.0,0.8,10.3,-2.35,All,0.008526858403900522
90,19969,0.175317,1.0,23.5,22.9,22.3,21.9,21.6,0.3,0.04,0.02,0.02,0.07,-0.12,0.06,0,1,All,Simbad,NED,31.90988,-0.32396,90,4.5,1.1,4.2,0.5,10.5,0.21,All,-0.1520171329887524
91,20048,0.185316,3.59,23.8,22.0,20.7,20.2,19.8,0.29,0.02,0.01,0.01,0.02,-0.03,0.1,0,1,All,Simbad,NED,339.30808,0.73633,91,8.4,4.0,8.0,4.0,10.9,-1.56,All,0.10339086055573732
92,20064,0.10484,1.81,23.3,21.7,20.7,20.2,19.9,0.26,0.02,0.01,0.01,0.02,-0.15,0.07,0,1,All,Simbad,NED,358.58633,-0.91725,92,7.3,4.0,8.9,1.1,9.0,-0.69,All,-0.0632626760850162
93,20084,0.139729,8.0,23.1,22.7,22.1,21.6,21.4,0.3,0.04,0.02,0.02,0.06,0.1,0.07,0,0,All,Simbad,NED,347.976,-0.57906,93,2.4,2.2,5.1,2.6,9.3,1.71,All,-0.021082975666554565
94,20125,0.166236,2.92,22.7,20.9,19.7,19.3,18.9,0.14,0.01,0.01,0.01,0.01,-0.21,0.08,0,0,All,Simbad,NED,25.65975,1.03044,94,9.4,1.7,8.7,4.2,10.8,-2.08,All,-0.03419683340721402
95,20528,0.135691,2.47,24.0,22.6,21.6,21.1,20.8,0.41,0.03,0.02,0.01,0.04,-0.15,0.06,0,0,All,Simbad,NED,43.12179,-1.1395,95,8.5,4.1,9.3,4.0,10.8,-1.49,All,-0.012367908840557829
96,20545,0.189457,2.86,23.5,22.2,21.3,20.9,20.6,0.21,0.02,0.01,0.01,0.03,-0.28,0.09,0,0,All,Simbad,NED,330.25,-0.42399,96,5.1,1.1,3.5,2.0,10.3,-1.07,All,-0.28656974936652324
97,20575,0.198704,2.46,23.8,21.4,20.1,19.6,19.2,0.49,0.01,0.01,0.01,0.01,-0.38,0.08,0,0,All,Simbad,NED,325.26562,0.14244,97,8.2,3.6,7.8,3.9,11.1,-1.76,All,-0.25509160065167247
98,20625,0.108128,1.63,23.2,22.0,21.3,20.8,20.6,0.31,0.03,0.01,0.01,0.03,0.06,0.06,0,0,All,Simbad,NED,5.68317,-0.47944,98,2.6,2.1,4.0,1.9,10.6,0.52,All,-0.052600514459144834
99,20764,0.165901,2.07,23.1,21.4,20.4,19.9,19.6,0.14,0.01,0.01,0.0,0.01,-0.18,0.09,0,0,All,Simbad,NED,26.12071,0.22972,99,9.6,1.2,6.0,1.6,10.8,-2.47,All,0.004285627800195674
100,21034,0.108547,8.2,24.1,23.1,22.7,22.4,22.0,0.35,0.04,0.05,0.06,0.13,0.08,0.06,0,0,All,Simbad,NED,28.14225,1.24417,100,3.4,1.2,5.9,0.7,10.5,0.36,All,0.0013293303704940834
101,21487,0.189116,1.74,23.5,22.4,21.5,21.1,20.8,0.22,0.02,0.01,0.01,0.03,-0.3,0.08,0,0,All,Simbad,NED,340.281,-0.21144,101,5.4,0.8,5.9,1.0,10.5,-0.98,All,-0.2938460575554086
102,21502,0.089163,2.34,24.0,22.6,21.7,21.4,21.1,0.61,0.04,0.02,0.02,0.06,-0.09,0.09,0,0,All,Simbad,NED,353.6,-0.89033,102,6.9,3.7,10.7,1.0,10.8,-0.94,All,-0.020227598499835645
103,22075,0.130028,1.78,23.7,23.2,22.2,21.8,21.5,0.26,0.05,0.03,0.03,0.08,-0.21,0.08,0,0,All,Simbad,NED,29.9637,1.21662,103,6.5,2.7,10.0,4.1,11.0,-1.74,All,-0.1571925209146551
